Manufacturer,Model,Top speed,Acceleration,Capacity(adults and children),Charging time,Nominal range,Market release date and sales
Mercedes-Benz,B-Class Electric Drive,160 km/h (99 mph),7.9 s,5,9 hours when charging from 220/240 V outlet; 2.4 hours from 400 V,200 km (124 mi),2015
Mercedes-Benz,EQC,180 km/h (112 mph),4.9 s,5,12 hours,354 km,2019
Micro Mobility Systems,Microlino,90 km/h (56 mph),,2 [27],"1 hours w/ Type 2 connector, 4 hours w/ domestic power [27]",120–215 km (75–134 mi) (depending on battery) [27],Late 2018 (initially only in Germany and Switzerland)
Mitsubishi,i-MiEV,130 km/h (81 mph),,4,"7 to 14 hours when charged from household, depending on the type of power; 30 minutes when charging from a quick charger system (80% charged)[28]",170 km (106 mi),"Released in Japan in July 2009 for fleet customers. Available in Japan, Hong Kong, Australia, Europe, the U.S., Canada and some Latin American countries. As of June 2016, and accounting for all variants of the i-MiEV, including the rebadged Peugeot iOn and Citroën C-Zero sold in Europe, about 37,600 units have been sold worldwide since 2009.[29]"
Motores Limpios,Zacua,85 km/h,,2,8 hours,160 km,2017 in Mexico
MW Motors,Luka EV,148 km/h (92 mph),9.3 s,2,9 hours standard domestic socket. 2 hours with 3 phase rapid charger,300 km (186 mi)(unverified),July 2016
NIO,ES8,200 km/h (124 mph),4.4 s,7,0.8h (0%-80% SOC)DC Charge7.5-8h (0-80% SOC)AC Charge,355 km (221 mi) (NEDC),Released in China in 2017
Nissan,Leaf,150 km/h (93 mph),,5,"Up to 20 hours when charged from 110/120 V outlet; 8 hours when charging from 220/240 V outlet; 30 minutes for 440 V ""quick charge"" (to 80% of battery capacity)",252 km (157 mi) with 40 kWh battery [30]200 km (120 mi) (NEDC),"Released in the U.S. and Japan in December 2010, is available in 46 countries. The Leaf is the top selling electric car in history, with global sales of more than 250,000 units through December 2016.[31] 2016 LEAFs have an optional 40 kWh battery."
ECOmove,QBeak,90 km/h (56 mph),,4,8 hours,250 km (155 mi),Available in Denmark for now.[32]
Peugeot,i0n,130 km/h (81 mph),15.9 s,4,7 hours when charged from household; 30 minutes when charging from a quick charger system[10],150 km (93 mi),Rebranded Mitsubishi i-MiEV; since 2010 Available in Europe.
Rayttle,E28,80 km/h (50 mph),,2,,130 km (81 mi),Chinese clone of the Renault Twizy. Sales began in China in September 2014.[33]
Renault / Renault Samsung,Fluence Z.E. / SM3 Z.E.,"135 km/h (84 mph), electronically limited",,5,22 kWh battery: 6 to 8 hours on a 220 V 10 A or 16 A domestic socket; 30 minutes on a 400 V 32 A fast charging station; or battery swap in 5 minutes (Better place),213 km (36 kWh battery)[34] 135 km (84 mi) + 15 km limp home mode (22 kWh battery),"Released in France in 2010, Israel in Jan 2012, UK in Jan 2012, Turkey in May 2012, South Korea in 2013."
Renault,Zoe,"135 km/h (84 mph), electronically limited",13.5 s 11.4 s (R110),5,"Six to nine hours with 3.7 kW, 30 minutes with 43 kW (80%)",400 km (250 mi) 41 kWh battery 210 km (130 mi) 22 kWh battery,"Released in France in December 2012. Global cumulative sales totaled to nearly 130,000 units by the end of 2018.[35][36]"
Renault,Twizy,80 km/h (50 mph) (Urban 80 version),,2,3.5 hours,100 km (62 mi),"From March 2012. Available in Europe.As of June 2016, global sales totaled 17,873 units, mostly in Europe.[37]"
Smart,Smart electric drive,125 km/h (78 mph),11.5 s,2,,145 km (90 mi),"Available in Europe, the United States and Canada. Global sales totaled about 12,250 units through December 2014.The second generation, launched in 2009, sold over 2,300 units through 2012,[38] and almost 10,000 units of the third generation, launched in 2013, have been sold through December 2014.[39][40]"
Sono Motors,Sion,140 km/h (87 mph)[41],9 s (approximately)[41],5[41],"Eight hours with 3.7 kW,  30 minutes with 50 kW (80%)[41][42]",250 km (160 mi) (this is real world range according to the company[43]) 35 kWh battery[41],"To be released in Germany in mid-2019.  Prototype for test-drives in Europe.  Preorder: EUR 16.000,- + EUR 4.000,- (battery)[41]"
Stevens,ZeCar,90 km/h (56 mph)[44],,5[45],6–8 hours[46],080 km (50 mi),March 2008
Tesla,Model S,262 km/h (163 mph) (Performance) 249 km/h (155 mph) (Long Range),2.4 s (Performance)[47] 3.7 s (Long Range),5 + 2[Note 1],8 hours with home charging; 50% in ~20 minutes from a Tesla Supercharger[48],380 mi (610 km) (EPA) (Long Range) (AWD)[49][50] 368 mi (593 km) (EPA) (Performance) (AWD),"First released in the U.S. in June 2012, cumulative global sales totaled more than 158,000 units through December 2016.[31]"
Tesla,Model X,262 km/h (163 mph) (Performance) 249 km/h (155 mph) (Long Range),2.7 s (Performance)[51] 4.4 s (Long Range),7-5,8 hours with home charging; 50% in ~20 minutes from a Tesla Supercharger[48],528 km (328 mi) (EPA) (Long Range) (AWD) 491 km (305 mi) (EPA) (Performance) (AWD),"First released in the U.S. in September 2015. Cumulative sales totaled more than 25,000 units as of December 2016.[52]"
Tesla,Model 3,261 km/h (162 mph) (Performance) 233 km/h (145 mph) (Long Range)  230 km/h (140 mph) (Standard Range Plus),3.2 s (Performance) 4.4 s (Long Range) 5.3 s (Standard Range Plus),5,"7.3h for 100%, ~14% per hour with home charger, 50% in ~30 minutes from a Tesla Supercharger",560 km (348 mi) (WLTP) (Long Range) (AWD) [53] 518 km (322 mi) (EPA) (Long Range) (AWD) 500 km (310 mi) (EPA) (Performance) (AWD) 400 km (250 mi) (EPA) (Standard Range Plus) (RWD)[54],"Released in the US in July 2017. 28,386 units as of end of Q2 2018."
Venturi,Fétish,200 km/h (124 mph),4 s,2,"3 hours with external charge booster, 8 hours with onboard charging system",340 km (211 mi),2006 to present
Volkswagen,e-Golf,145 km/h (90 mph),10.4 s,5,SE and SEL Premium in under 6 hours at a 240 V charging station. Optional (standard on SEL Premium) DC Fast Charging to 80% in 1 hour at a DC fast charging station.,300 km (186 mi) MY2017 190 km (118 mi) MY2014,Released in Europe in March 2014. Updated model with new battery management system released in Europe in July 2017.
Volkswagen,e-Up!,130 km/h (81 mph),,4,"8 hours with AC 230 V. 2.3 kW plugged into any standard 230 V socket, 3.6 kW via a home-installed wall box or with up to 40 kW plugged into a DC fast-charging station",160 km (99 mi),Released in Europe in October 2013
