Id del ;Strada ;Comune ;Note ;Km da ;Km a 
566;SP 107 dir;PERGINE VALSUGANA;Canzolino;0;0,325
390;SP 107;PERGINE VALSUGANA;Madrano;2,2;2,668
567;SP 243;PERGINE VALSUGANA;Cire';0;1,305
392;SP 83;PERGINE VALSUGANA;Madrano;1,191;2,953
271;SP 83;PERGINE VALSUGANA;Madrano;1,191;2,953
263;SP 83;PERGINE VALSUGANA;Nogare';4,714;5,15
395;SP 8;PERGINE VALSUGANA;Pergine;0;1,447
384;SP 83;PERGINE VALSUGANA;Nogare';4,714;5,15
393;SP 66;PERGINE VALSUGANA;Pergine;0,46;1,308
565;SP 107;PERGINE VALSUGANA;Madrano;2,225;2,655
564;SP 107;PERGINE VALSUGANA;Canzolino;1,8;2,225
561;SP 83;PERGINE VALSUGANA;Nogare';4,73;5,15
399;SP 1;PERGINE VALSUGANA;Valcanover;1,23;2,225
389;SP 107;PERGINE VALSUGANA;Canzolino;1,804;2,2
268;SP 107;PERGINE VALSUGANA;Canzolino;1,804;2,2
560;SP 83;PERGINE VALSUGANA;Madrano;2,255;2,92
388;SP 107;PERGINE VALSUGANA;Casalino;0,448;0,827
267;SP 107;PERGINE VALSUGANA;Casalino;0,448;0,827
387;SP 107;PERGINE VALSUGANA;Vigalzano;0,827;1,1
266;SP 107;PERGINE VALSUGANA;Vigalzano;0,827;1,1
557;SP 1;PERGINE VALSUGANA;San cristoforo;0;0,64
397;SP 16;PERGINE VALSUGANA;Ischia;0,94;1,577
277;SP 16;PERGINE VALSUGANA;Ischia;0,94;1,577
562;SP 107;PERGINE VALSUGANA;Casalino;0,415;0,78
385;SP 243;PERGINE VALSUGANA;Cire';0,17;1,436
559;SP 16;PERGINE VALSUGANA;Ischia;0,975;1,58
556;SP 1;PERGINE VALSUGANA;Valcanover;1,23;2,225
394;SP 8;PERGINE VALSUGANA;Canezza;3,55;4,07
386;SP 243;PERGINE VALSUGANA;Pergine;2,143;2,258
275;SP 1;PERGINE VALSUGANA;San. Cristoforo;0;0,53
396;SP 1;PERGINE VALSUGANA;S. Cristoforo;0;0,53
278;SP 228;PERGINE VALSUGANA;Pergine Valsugana;0;0,537
398;SP 228;PERGINE VALSUGANA;Pergine;0;0,537
75;SS 237;PIEVE DI BONO;frazione di Cologna;70,546;71,128
77;SS 237;PIEVE DI BONO;frazione di Strada;72,267;72,954
76;SS 237;PIEVE DI BONO;frazione di Creto;71,312;72,267
78;SS 237;PIEVE DI BONO;frazione di Agrone;73,784;74,243
73;SS 240;PIEVE DI LEDRO;Mezzolago;31,57;31,89
74;SS 240;PIEVE DI LEDRO;Pieve di Ledro;33,3;34,34
279;SP 78;PIEVE TESINO;(Nessuno);11,02;11,596
280;SP 114;PIEVE TESINO;(Nessuno);0;0,021
367;SS 239;PINZOLO;frazione M.di Campiglio;16,7;19,48
366;SS 239;PINZOLO;frazione C.C.Magno;14,18;16,1
79;SS 239;PINZOLO;Pinzolo;29,9;31,327
81;SS 239;PINZOLO;Passo Campo Carlo Magno;14,56;15,315
429;SS 239;PINZOLO;Pinzolo;29,9;31,327
80;SS 239;PINZOLO;S. Antonio di Mavignola;23,86;24,9
430;SS 239;PINZOLO;S. Antonio di Mavignola;23,86;24,9
281;SP 238;POZZA DI FASSA;(Nessuno);1,45;2
84;SS 48;POZZA DI FASSA;abitato di Pera;54,35;55,85
83;SS 48;POZZA DI FASSA;abitato di Pozza;53,198;54,35
82;SS 241;POZZA DI FASSA;abitato di Pozza;35,5;36,02
368;SP 27;PRASO;Praso;1,905;2,767
406;SS 48;PREDAZZO;Predazzo;36,03;38,5
408;SS 50;PREDAZZO;Bellamonte;109,03;110,49
85;SS 48;PREDAZZO;Predazzo;36,03;38,5
407;SS 50;PREDAZZO;Predazzo;114,81;116,013
86;SS 50;PREDAZZO;Predazzo;114,81;116,013
87;SS 50;PREDAZZO;Bellamonte;109,2;110,49
284;SP 34 dir Preore;PREORE;(Nessuno);0;0,131
285;SP 53;PREORE;(Nessuno);0;0,3
283;SP 34;PREORE;(Nessuno);3,9;5,927
608;SP 122;PREZZO;(Nessuno);0,935;2,086
609;SP 122 dir Boniprati;PREZZO;(Nessuno);0;0,65
288;SP 86;RABBI;San. Bernardo;7,219;7,959
291;SP 86 dir Piazzola;RABBI;Sonrabbi;2,75;3,203
289;SP 86;RABBI;Fonti di Rabbi;10,383;10,995
290;SP 86 dir Piazzola;RABBI;Piazzola;1,318;2,215
287;SP 86;RABBI;Pracorno;2,784;4
293;SP 34;RAGOLI;Ragoli;6,564;7,635
294;SP 34;RAGOLI;Coltura;8,21;8,873
295;SP 34 dir Ragoli;RAGOLI;Ponte Ragoli;0,173;0,928
298;SP 74;REVO';(Nessuno);0;0,551
297;SP 28;REVO';abitato di Tregiovo;8,085;8,245
296;SP 28;REVO';(Nessuno);0;0,87
88;SS 42;REVO';(Nessuno);196,07;197,395
356;SS 421;RIVA DEL GARDA;(Nessuno);61,55;62,15
344;SP 36 dir Varone;RIVA DEL GARDA;(Nessuno);0,4;1,33
89;SS 42;ROMALLO;(Nessuno);197,42;198,6
418;SS 43 dir;ROMENO;Romeno;9,38;11,31
91;SS 43 dir;ROMENO;Romeno;9,38;11,31
415;SP 248;ROMENO;(Nessuno);1,735;3,075
417;SS 43 dir;ROMENO;Malgolo;6,2;7,61
90;SS 43 dir;ROMENO;Malgolo;6,2;7,61
414;SP 248;ROMENO;(Nessuno);0;0,683
416;SP 248;ROMENO;(Nessuno);3,73;4,187
611;SP 65 dir;RONCEGNO;(Nessuno);0;0,576
612;SP 228;RONCEGNO;Marter;16,04;17,408
610;SP 65;RONCEGNO;(Nessuno);0,889;3,054
92;SS 237;RONCONE;(Nessuno);76,815;78,5
615;SP 88;RONZO-CHIENIS;(Nessuno);10,279;11,714
616;SP 48;RONZO-CHIENIS;(Nessuno);15,8;15,875
555;SP 35;RONZONE;(Nessuno);1,774;1,921
554;SS 42;RONZONE;(Nessuno);212,51;214,659
536;SP 90 2°tronco dir;ROVERETO;Rovereto;0;1,26
537;SP 20;ROVERETO;Rovereto;0;0,5
535;SP 2;ROVERETO;Noriglio;2,148;5,06
299;SP 19;RUFFRE';(Nessuno);0,639;2,227
93;SS 42;RUFFRE';Passo Mendola;219,887;220,415
94;SS 42;RUFFRE';Villini dell'Alpe;218,48;219,03
650;SS 347;SAGRON MIS;Mis;11,1;11,76
649;SP 115;SAGRON MIS;Mis;0;0,8
508;SP 39;SAMONE;(Nessuno);1,436;1,738
400;SP 8;SANT'ORSOLA TERME;(Nessuno);7,7;9,58
96;SS 43 dir;SANZENO;Sanzeno;3,45;4,75
303;SP 4;SANZENO;(Nessuno);0;0,25
301;SP 74;SANZENO;(Nessuno);6,218;6,315
302;SP 24;SANZENO;Casez;0,562;1,319
300;SP 74;SANZENO;Banco;4,557;5,472
99;SS 50;SIROR;loc. Passo Rolle;94,8;96,4
97;SS 50;SIROR;abitato di Siror;73,3;74,5
98;SS 50;SIROR;abitato di S. Martino di Castrozza;84;86,95
568;SP 7;SMARANO;(Nessuno);6,4;7,06
100;SS 48;SORAGA;(Nessuno);49,05;50,25
409;SS 48;SORAGA;(Nessuno);48,909;50,25
304;SP 42;SPERA;(Nessuno);0,85;1,176
101;SS 239;SPIAZZO;(Nessuno);37,35;39,23
522;SS 239;SPIAZZO;(Nessuno);37,35;39,4
305;SP 236;SPIAZZO;(Nessuno);0;0,624
523;SP 236;SPIAZZO;(Nessuno);0;0,624
102;SS 421;SPORMAGGIORE;(Nessuno);4,778;5,467
553;SS 421;SPORMAGGIORE;(Nessuno);4,25;5,44
306;SP 67;SPORMINORE;(Nessuno);3,186;3,879
437;SS 421;STENICO;Villa Banale;36,45;36,955
434;SP 33 dir Ponte Arche;STENICO;frazione Villa Banale;0;0,353
308;SP 34;STENICO;Sclemo;17,45;18,15
435;SP 33 dir Ponte Arche;STENICO;frazione Premione;0,743;1,385
432;SP 34;STENICO;Sclemo;17,433;18,12
433;SP 34 dir Cros Val;STENICO;Seo;0,5;1,01
307;SP 34;STENICO;Stenico;14,604;15,74
309;SP 34 dir Cros Val;STENICO;Seo;0,44;1,01
311;SP 33;STENICO;frazione Premione;0,75;1,45
431;SP 34;STENICO;Stenico;14,603;15,875
103;SS 421;STENICO;frazione di Villa Banale;36,5;36,9
312;SP 33;STENICO;Stenico;2,39;3,451
310;SP 33;STENICO;frazione Villa Banale;0;0,35
313;SP 69;STORO;Storo;0;0,6
105;SS 237;STORO;Darzo;57,75;58,715
104;SS 237;STORO;Lodrone;55,788;57,1
314;SP 241;STORO;(Nessuno);3;3,7
107;SS 240;STORO;Storo;50,17;52,25
108;SS 239;STREMBO;(Nessuno);35,25;36,25
317;SP 39;STRIGNO;(Nessuno);0;0,227
316;SP 42;STRIGNO;(Nessuno);0;0,6
315;SP 41;STRIGNO;(Nessuno);3,1;3,328
319;SP 78;STRIGNO;frazione Tomaselli;3,108;3,618
318;SP 78;STRIGNO;(Nessuno);1,284;2,823
322;SP 13 dir Dardine;TAIO;Dardine;1,4;1,543
110;SS 43;TAIO;Taio;11,9;13,3
109;SS 43;TAIO;Dermulo;9,9;10,55
320;SP 13;TAIO;Taio;13,516;14,512
321;SP 13;TAIO;Mollaro;0;0,695
111;SS 43 dir;TAIO;Dermulo;0;0,2
501;SP 10;TASSULLO;(Nessuno);0,667;1,973
659;SP 138;TERRAGNOLO;Puechem;0,415;0,775
656;SP 138;TERRAGNOLO;Piazza;0;0,095
657;SP 2;TERRAGNOLO;Scottini-Pornal-Dieneri;16,658;17,3
675;SP 138;TERRAGNOLO;Piazza;0;0,08
655;SP 2;TERRAGNOLO;Piazza;12,188;12,78
674;SP 2;TERRAGNOLO;Piazza;12,188;12,78
678;SP 138;TERRAGNOLO;Puechem;0,36;0,73
682;SP 138;TERRAGNOLO;Incapo;3,983;4,146
672;SP 2;TERRAGNOLO;Valduga;10,112;10,576
663;SP 138;TERRAGNOLO;Incapo;3,975;4,146
677;SP 138;TERRAGNOLO;Dosso;0,08;0,36
653;SP 2;TERRAGNOLO;Valduga;10,112;10,576
658;SP 138;TERRAGNOLO;Dosso;0,095;0,415
673;SP 2;TERRAGNOLO;Peltreri;11,94;12,188
661;SP 138;TERRAGNOLO;Zoreri;3,309;3,758
654;SP 2;TERRAGNOLO;Peltreri;11,941;12,165
660;SP 138;TERRAGNOLO;Baisi;2,762;3,252
680;SP 138;TERRAGNOLO;Zoreri;3,309;3,78
679;SP 138;TERRAGNOLO;Baisi;2,762;3,309
676;SP 2;TERRAGNOLO;Scottini-Pornal-Dinieri;16,666;17,3
681;SP 138;TERRAGNOLO;Soldati;3,78;3,983
662;SP 138;TERRAGNOLO;Soldati;3,758;3,975
323;SP 73;TERRES;(Nessuno);8,35;9,06
420;SP 201;TERZOLAS;(Nessuno);0;0,63
419;SP 125;TERZOLAS;(Nessuno);0,26;1,23
112;SS 48;TESERO;(Nessuno);28,2;29,25
324;SP 215;TESERO;(Nessuno);0;0,17
325;SP 215;TESERO;(Nessuno);0,915;2,2
114;SS 237;TIONE DI TRENTO;Tione;84,23;86,8
113;SS 239;TIONE DI TRENTO;Tione;46,2;47,45
115;SS 237;TIONE DI TRENTO;Saone;89,17;90
509;SP 124;TON;Bastianelli;2,685;3,45
511;SP 203 dir;TON;Vigo;0,35;0,672
510;SP 124;TON;Vigo;3,995;4,88
326;SP 65;TORCEGNO;(Nessuno);8,25;9,18
689;SP 89;TRAMBILENO;Porte;1,525;2,45
690;SP 50;TRAMBILENO;Clocchi;2,835;3,295
652;SP 253;TRANSAQUA;(Nessuno);0;0,44
651;SS 50;TRANSAQUA;(Nessuno);71,1;71,83
487;SS 45 bis;TRENTO;Vigolo Baselga;146,24;146,615
327;SP 13;TRES;(Nessuno);9,404;10,95
330;SP 73;TUENNO;(Nessuno);12,646;14,488
328;SP 10;TUENNO;(Nessuno);5,436;6,971
329;SP 14;TUENNO;(Nessuno);0;0,4
116;SS 612;VALDA;(Nessuno);20,794;21,506
684;SP 250;VALFLORIANA;Casatta;0;0,275
687;SP 250;VALFLORIANA;Montalbiano;4,25;4,74
686;SP 250;VALFLORIANA;Valle;3,065;3,43
685;SP 250;VALFLORIANA;Barcatta;0,678;1,33
688;SP 250;VALFLORIANA;Sicina;4,86;5,265
683;SP 71;VALFLORIANA;Casatta;33,305;33,88
624;SP 89 dir Anghebeni;VALLARSA;Aste;0,04;0,214
617;SS 46;VALLARSA;Piano;51,006;51,778
628;SP 89;VALLARSA;Foppiano;7,327;7,854
634;SP 219;VALLARSA;Camposilvano;6,68;7,072
630;SP 89;VALLARSA;Obra;18,697;19,175
619;SS 46;VALLARSA;Raossi;53,764;54,478
621;SS 46;VALLARSA;Anghebeni;56,412;57,2
627;SP 89;VALLARSA;Albaredo;5,641;6,095
633;SP 219;VALLARSA;Speccheri;2,233;2,657
625;SP 89 dir Anghebeni;VALLARSA;Staineri;0,924;1,218
623;SS 46;VALLARSA;Valmorbia;59,854;60,248
622;SP 89 dir Anghebeni;VALLARSA;Anghebeni;3,485;3,905
632;SP 89;VALLARSA;Ometto;19,625;19,94
626;SP 89 dir Anghebeni;VALLARSA;S. Anna;1,366;1,77
629;SP 89;VALLARSA;Matassone;11,22;11,629
618;SS 46;VALLARSA;Parrocchia;52,3;52,615
620;SS 46;VALLARSA;Foxi;55,385;55,782
117;SS 620;VARENA;(Nessuno);19,36;20,4
118;SS 349;VATTARO;abitato di Vattaro;13,5;14,535
119;SS 349;VATTARO;abitato di Pian dei Pradi;16,65;17,26
120;SS 42;VERMIGLIO;Vermiglio;158,25;160,135
332;SP 94;VERMIGLIO;Vermiglio;0;1,67
331;SP 91;VERMIGLIO;Vermiglio;0;1,563
121;SS 42;VERMIGLIO;Passo Tonale;147,846;149,125
334;SP 13 dir Vervò;VERVO';VervÃ²;0,481;0,63
333;SP 13;VERVO';PriÃ²;3,196;3,761
401;SP 12;VIGNOLA-FALESINA;(Nessuno);9,98;10,65
122;SS 48;VIGO DI FASSA;(Nessuno);52,55;53,03
123;SS 241;VIGO DI FASSA;(Nessuno);33,84;35,51
124;SS 241;VIGO DI FASSA;(Nessuno);36;36,4
53;SS 349;VIGOLO VATTARO;(Nessuno);11,35;12,54
54;SS 239;VIGO RENDENA;Vigo Rendena;41;41,75
665;SP 65;VILLA AGNEDO;(Nessuno);14,453;14,69
667;SP 60 dir;VILLA AGNEDO;(Nessuno);1,865;2,161
666;SP 60;VILLA AGNEDO;(Nessuno);0,535;1,875
664;SP 78;VILLA AGNEDO;(Nessuno);0,465;1,175
469;SP 20;VILLA LAGARINA;Abitato Castellano;7,56;8,845
468;SP 20;VILLA LAGARINA;Abitato Pedersano;2,395;3,64
467;SP 20;VILLA LAGARINA;Abitato Villa Lagarina;0;0,675
502;SS 239;VILLA RENDENA;Fraz. Javre';42,5;43,38
503;SS 239;VILLA RENDENA;Fraz. Villa Rendena;43,38;44
52;SS 239;VILLA RENDENA;Villa Rendena;43,38;44
51;SS 239;VILLA RENDENA;Javre';42,5;43,38
504;SP 34;VILLA RENDENA;Fraz. Javre';0;0,29
538;SS 12;VOLANO;(Nessuno);357,743;359,362
50;SS 48;ZIANO DI FIEMME;(Nessuno);32,83;33,6
335;SP 222;ZUCLO;(Nessuno);8,457;9,333
438;SP 222 dir Tonello;ZUCLO;(Nessuno);0;0,18
370;SP 222;ZUCLO;(Nessuno);9,333;10,665
336;SP 222 dir Tonello;ZUCLO;(Nessuno);0;0,18
