,name,latitude,longitude,city,opening_hours,phone,wheelchair,address
32,Farmacia Comunale,46.058379200000005,11.1215688,,,,,"Farmacia Comunale, Via Fratelli Bronzetti, Man Malpensada, San Giuseppe, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
33,Farmacia Comunale 'San Camillo',46.0655277,11.1320121,,,,,"Farmacia Comunale  San Camillo, 5, Via Benedetto Giovanelli, Cernidor, Bolghera, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38100, Italia"
34,,45.9172503,10.8805017,,,,,"Pasticceria Tre Rose, Via Nas, Bolognano, Arco, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38062, Italia"
35,Farmacia 'Grandi',46.0738199,11.125191599999999,Trento,,+39 0461 239805,,"Farmacia  Grandi, 7/A, Via Alessandro Manzoni, San Martino, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
36,Farmacia Crescini,46.0598823,11.238304699999999,Pergine Valsugana,"Mo-Sa 08:30-12:00, Mo-Sa 15:00-19:00",,,"Farmacia Crescini, 8, Piazza Giovanni Serra, Maso Kronst, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
37,,46.1747289,11.220955300000002,,,,,"Enoteca Zanotelli, Viale 4 novembre, Cembra Lisignago, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, 38047, Italia"
38,Farmacia Romani,46.1413451,11.1071424,Lavis,,+39 0461 246349,,"Farmacia Romani, 1, Via Giuseppe Segantini, Maso Callianer, Maso Ingran, Lavis, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
39,Farmacia Comunale,45.894778,10.8498354,,,,,"Farmacia Comunale, Viale Trieste, Riva del Garda, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38066, Italia"
40,Farmacia Alla Madonna,46.069806899999996,11.1230745,Trento,"Mo-Sa 08:30-12:30,15:00-19:00",+39 0461 982584,,"Farmacia Alla Madonna, 42, Via Giannantonio Manci, Centro storico Trento, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
41,Farmacia,46.3311395,10.878198800000002,,,,,"Farmacia, 82, Via Brescia, Dimaro Folgarida, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38020, Italia"
42,,46.3520987,10.9121689,,,,,"Piazza Dante, Mas de la Serra, Malé, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, Italia"
43,Farmacia comunale,45.926445799999996,11.0425935,,,,,"Farmacia comunale, Via tre Novembre, Le Gere, Pomarolo, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 39068, Italia"
44,,46.089857,11.1820539,,,,,"Via Telvana, Civezzano, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38045, Italia"
45,Farmacia Kamal,46.0529786,11.410406199999999,,,,,"Farmacia Kamal, Piazza Montebello, Maso Vazzena, Masetti, Roncegno Terme, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38051, Italia"
46,Farmacia Ottaviani,45.817258,10.9565781,,,,,"Farmacia Ottaviani, Via Milano, Tognotti, Brentonico, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38065, Italia"
47,Farmacia Calliano,45.935430700000005,11.0940359,,,+39 0464 834118,,"Farmacia Calliano, 19, Via Arminio Valentini, Calliano, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, Italia"
48,,45.890242799999996,10.6008618,,,,,"Cassa Rurale di Condino, Via Roma, Borgo Chiese, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38083, Italia"
49,Farmacia Fusi,45.848452,10.5779212,,,,yes,"Farmacia Fusi, Via del Mercato, Storo, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38089, Italia"
50,,45.8083537,10.540448300000001,,,,,"Via di Mezzo, Bondone, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38089, Italia"
51,Farmacia Comunale,45.9013786,11.0419026,Rovereto,,+39 0464 412812,,"Farmacia Comunale, 33/2, Viale Trento, Brione, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38068, Italia"
52,,45.8894599,11.0422041,Rovereto,,,,"32, Via delle Scuole, Santa Maria, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38068, Italia"
53,Chinaglia,45.870688,10.8765174,,,,yes,"Chinaglia, SS240, Nago-Torbole, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38069, Italia"
54,,45.9151533,11.032628,Villa Lagarina,,,,"46, Via 25 aprile, Villa Lagarina, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 39068, Italia"
55,,46.0669754,11.1284969,,,,,"18, Via Giuseppe Grazioli, Cernidor, Centro storico Trento, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
56,,46.045920100000004,10.953204300000001,,,,,"Madruzzo, Comunità della Valle dei Laghi, Trento, Trentino-Alto Adige/Südtirol, 38072, Italia"
57,Campagnola,46.21295670000001,11.0913849,Mezzolombardo,,+39 0461 601032,,"Campagnola, 19, Via Alcide De Gasperi, Mezzolombardo, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38017, Italia"
58,Farmacia ai Solteri,46.0923859,11.117635,Trento,,+39 0461 827944,,"Farmacia ai Solteri, 40, Via Renato Lunelli, Piazzina, Nord Center, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
59,Farmacia Comunale,45.9111219,10.900851,,,,,"Farmacia Comunale, Via Stazione, Bolognano, Arco, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38062, Italia"
60,Farmacia Bettinazzi - R. & T. Pharma Snc,45.9164495,10.8856849,,,,,"Farmacia Bettinazzi - R. & T. Pharma Snc, Via Bruno Galas, Bolognano, Arco, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38062, Italia"
61,Farmacia Fontana,46.1081304,11.111868300000001,,"Mo-Sa 8:00-12:30,15:00-19:30",+39 0461 990320,,"Farmacia Fontana, 2, Via Marco Pola, Piazzina, Gardolo, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
62,Farmacia Nave San Rocco,46.1672565,11.110319,,,,,"Farmacia Nave San Rocco, Via 4 Novembre, Maso del Gusto, Terre d'Adige, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
63,Farmacia Boni,46.0333617,10.7244513,,,,,"Farmacia Boni, Via Presenella, Tione di Trento, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38979, Italia"
64,Cobelli,45.890105600000005,11.0432418,Rovereto,,,,"Cobelli, 8, Via Giuseppe Mazzini, Santa Maria, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38068, Italia"
65,Erboristeria Arnica,46.36529229999999,11.0359976,,,,,"Erboristeria Arnica, Via Guglielmo Marconi, Pez, Cles, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38023, Italia"
66,Sanit?,46.3655329,11.0347336,,,,,"Sanità, Via Enrico Bergamo, Pez, Cles, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38023, Italia"
67,,46.3646186,11.033579699999999,,,,,"Banca Fideuram, Via Carlo Antonio Pilati, Pez, Cles, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38023, Italia"
68,Farmacia Comunale Via Benacense,45.8783602,11.0334873,,,,,"Farmacia Comunale Via Benacense, Via Benacense, Lizzanella, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38068, Italia"
69,,46.311325200000006,10.757248599999999,,,,,"Hotel Cova, 33, Via Nazionale, Ponte, Pellizzano, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38020, Italia"
70,Darma Il Farmastore,46.068036,11.223445,Pergine Valsugana,Mo 14:30-20:00; Tu-Su 09:00-20:00,,yes,"Darma Il Farmastore, Via Tamarisi, Maso Popper, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
71,Farmacia Gagliardi,46.0046234,10.842348300000001,,,,,"Farmacia Gagliardi, 1, Via De Gasperi, Fiavè, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38075, Italia"
72,Farmacia Comunale,46.0534713,11.1206301,,,,,"Farmacia Comunale, Via San Pio X, Man Malpensada, San Pio X, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38123, Italia"
73,,46.190673100000005,11.129844300000002,,"Mo-Fr 08:30-12:00,15:00-19:00; Sa 08:30-12:00",,,"Via Nazionale, Grumino, San Michele all'Adige, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38016, Italia"
74,Farmacia Bailo,46.0537033,11.4548787,Borgo Valsugana,"Mo-Sa 08:30-12:15,15:30-19:00; PH closed",,yes,"Farmacia Bailo, 3a, Piazzale Dante Alighieri, Crosetta, Cimondè, Borgo Valsugana, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38051, Italia"
75,,46.262074600000005,11.8018422,,,,,"S.Martino Di C.Hotel Rosetta, Via Passo Rolle, San Martino di Castrozza, Primiero San Martino di Castrozza, Comunità di Primiero, Trento, Trentino-Alto Adige/Südtirol, Italia"
76,Parafarmacia,46.0662491,11.122874699999999,Trento,,,,"Parafarmacia, 6, Via Santissima Trinitá, Centro storico Trento, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
77,Farmacia comunale,46.084496,11.2177362,,,,,"Farmacia comunale, Via Oltrefersina, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38034, Italia"
78,,45.9291659,11.070085699999998,,,,,"Tabaccheria Giornali, Via Isidoro Paissani, Nomi, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 39068, Italia"
79,,46.15223710000001,11.0974831,,,,,"Pizza Kebab Zambana, 7, Via Trento, Maso Gesuiti, Terre d'Adige, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38010, Italia"
80,Farmacia De Gerloni,46.073149,11.058552800000001,,,,,"Farmacia De Gerloni, Strada di Spinéda, Sant'Anna, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 66, Italia"
81,Farmacia,46.1542755,11.8062406,,,,,"Farmacia, Via della Chiesa, Melai, Mezzano, Comunità di Primiero, Trento, Trentino-Alto Adige/Südtirol, Italia"
82,La farmacia di Roncafort,46.0984636,11.1020825,,,,,"La farmacia di Roncafort, 31, Via Luigi Caneppele, zona commerciale via Maccani, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
83,Farmacia Comunale San Rocco,45.916653000000004,11.0633565,,,,,"Farmacia Comunale San Rocco, Via 3 Novembre, Volano, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 39068, Italia"
84,,46.1874748,11.2584887,,,,,"Guardia Medica, Strada Provinciale 71 Fersina - Avisio, Segonzano, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, 38047, Italia"
85,Farmacia Centrale,46.053927200000004,11.4577617,Borgo Valsugana,,+39 0461 753065,no,"Farmacia Centrale, 40, Corso Ausugum, Crosetta, Cimondè, Borgo Valsugana, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38051, Italia"
86,Dispensario farmaceutico,45.8694388,11.0733573,,,,,"Dispensario farmaceutico, Strada Provinciale di Trambileno, Trambileno, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38068, Italia"
87,,46.3766041,11.659545699999999,,,,,"Via Riccardo Lowy, Moena, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38035, Italia"
88,,46.248481299999995,11.1716149,Rover? della Luna,Mo-Fr 09:00-12:00,+39 0461 659101,,"12, Via Rauti, Roverè della Luna, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38030, Italia"
89,,45.840892,11.0084513,,,,,"Despar, Via Vecchio Alveo, Marco, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38065, Italia"
90,Zanini,46.2146886,11.118874,Mezzocorona,"Mo-Fr 08:30-12:15,15:30-19:15;Sa 08:30-12:15",+39 0461 605161,,"Zanini, 13, Piazza San Gottardo, Mezzocorona, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38016, Italia"
91,Farmacia Comunale Castelnuovo,46.0522737,11.492615800000001,Castelnuovo,,+39 0461 751300,,"Farmacia Comunale Castelnuovo, 15a, Viale Venezia, Castelnuovo, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38050, Italia"
92,,46.2988561,10.692774400000001,,,,,"Vermiglio, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38026, Italia"
93,,45.886501700000004,10.8426658,,,,,"Flora Downtown, Viale Dante Alighieri, Riva del Garda, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38066, Italia"
94,Accorsi,45.8852245,10.840970599999999,,,,,"Accorsi, Piazza delle Erbe, Riva del Garda, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38066, Italia"
95,,45.995081299999995,11.2603123,,,,,"Via dei Tigli, Costa di Brenta, Caldonazzo, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38052, Italia"
96,Farmacia all'Angelo,46.2744403,11.0479742,Denno,,,yes,"Farmacia all'Angelo, 10, Via Guglielmo Marconi, Denno, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38010, Italia"
97,Farmacia Comunale,46.070551,11.1123177,Trento,,,,"Farmacia Comunale, 19/A, Via Brescia, Piedicastello, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
98,farmacia comunale,45.8847764,11.008295599999999,,,,yes,"farmacia comunale, Via Cesare Cavalieri, Isera, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38068, Italia"
99,Farmacia di Gardolo,46.1064,11.10862,Gardolo,"Mo 15:00-19:00; Tu-Sa 09:00-12:00,15:00-19:00",+39 0461 993511,,"Residence Capitol, Via Soprasasso, Gardolo, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
100,Farmacia Comunale,46.1395384,11.111994300000001,Lavis,,,,"Farmacia Comunale, 66, Via Giacomo Matteotti, Maso Ingran, Lavis, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
101,,46.016758100000004,11.1055828,,,,,"Vigili del fuoco volontari Romagnano, Via alle Sette Fontane, Romagnano, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38060, Italia"
102,Farmacia Borsato,46.0637581,11.5239854,Castel Ivano,,+39 0461 762101,,"Farmacia Borsato, 29, Via Roma, Sièga, Località Penile, Castel Ivano, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38059, Italia"
103,Farmacia Baldrachi,46.330560999999996,11.026143199999998,Tuenno,,,,"Farmacia Baldrachi, 29, SP10, Ville d'Anaunia, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38023, Italia"
104,Farmacia Ravagni,45.7591484,11.0034033,,,,yes,"Farmacia Ravagni, Via della Roggia, Ala, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38061, Italia"
105,Farmacia Franzellin,45.7575766,11.0021142,,,,yes,"Farmacia Franzellin, Via Giovanni Segantini, Ala, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38061, Italia"
106,Folgaresi,45.9933445,10.9717397,,,,,"Folgaresi, Via Don Negri, Cavedine, Comunità della Valle dei Laghi, Trento, Trentino-Alto Adige/Südtirol, 38073, Italia"
107,Farmacia Pieve di Dino Ceschinelli,45.9395171,10.6391288,,,,,"Farmacia Pieve di Dino Ceschinelli, SS237, Pieve di Bono-Prezzo, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38085, Italia"
108,Farmacia Clarina,46.0487161,11.1256929,Trento,,,,"Farmacia Clarina, 112, Via Alcide Degasperi, Man Malpensada, Clarina, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38123, Italia"
109,Farmacia Teseo Francesco,46.070367499999996,11.480866699999998,,,,,"Farmacia Teseo Francesco, Via Paradiso, Nale, Batistoti, Telve, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38050, Italia"
110,,45.8915027,10.9521966,,,,,"Cassa Rurale Mori Val di Gresta, Strada Provinciale Bordala, Ronzo-Chienis, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38065, Italia"
111,,45.8519644,10.979005800000001,,,,,"Alta Via, SS240, Mori, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38065, Italia"
112,,45.7827256,11.1181305,,,,,"Municipio, SS46, Vallarsa, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, Italia"
113,,46.2907521,11.4620734,,,,limited,"Bar Roma, Via Fratelli Bronzetti, Cavalese, Comunità territoriale della Val di Fiemme, Trento, Trentino-Alto Adige/Südtirol, 38033, Italia"
114,,46.0519685,10.8545176,,,,,"Famiglia Cooperativa, 10, Piazza Dante Alighieri, Stenico, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38070, Italia"
115,Farmacie Comunali,45.911859899999996,11.0252009,,,,,"Farmacie Comunali, Via S. Biagio, Nogaredo, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 39068, Italia"
116,,46.351007200000005,10.693536300000002,,,,,"Ristorante-pizzeria  La Presef, 7, Piazza dei Monari, Peio, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38024, Italia"
117,,45.734889,10.9395448,,,,,"Coop1, Via Dante Alighieri, Avio, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38063, Italia"
118,,46.04141920000001,11.2350016,,,,,"Pub Gulliver, Viale Europa, Maso Kronst, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
119,,46.3485815,11.0889288,Coredo,,,,"Predaia, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
120,Thaler,45.8898791,11.0403937,,,,,"Thaler, Via Dante Alighieri, Santa Maria, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38068, Italia"
121,Farmacia Valle dei Mocheni,46.109182399999995,11.302132400000001,Sant'Orsola Terme,"Mo-Fr 08:30-12:00,15:00-19:00; Sa 08:30-12:00; Su off",+39 0461 550007,,"Farmacia Valle dei Mocheni, 75, SP8, Pintarei, Léner, Sant'Orsola Terme, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38050, Italia"
122,,46.1010416,10.736228599999999,,,,,"Famiglia Cooperativa, SS239, Calvario, Pelugo, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38088, Italia"
123,Farmacia dott.ssa Venezian,45.9186901,10.8653341,,,,,"Farmacia dott.ssa Venezian, Via Luigi Negrelli, Bolognano, Arco, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38062, Italia"
124,,46.377056599999996,11.659493800000002,,,,,"Hotel Garnì Aurora, Strada de Salejada, Moena, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38035, Italia"
