latitude,longitude,altitude,geometry,@id,amenity,name,opening_hours,operator,ref:vatin,contact:phone,dispensing,ref:vat:it,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,surveillance,contact:email,contact:website,wheelchair,phone,source,drive_through,addr:province,contact:fax,contact:mobile,addr:housename,healthcare,layer,addr:state,level,fixme,website,alt_name,email,addr:district,addr:place,name:it,name:en
45.8832338,11.0401384,,Point,node/269615820,pharmacy,Barbacovi,,,,,yes,,Rovereto,IT,9B,38068,Via Benacense,,,,,,,,,,,,,,,,,,,,,,,
46.0892787,11.1314234,,Point,node/271292343,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1264001,11.1165086,,Point,node/278546539,pharmacy,Farmacia Comunale,"lunedì	08:30–12:15, 15–19 martedì	08:30–12:15, 15–19 mercoledì	08:30–12:15, 15–19 giovedì	08:30–12:15, 15–19venerdì	08:30–12:15, 15–19 sabato	08:30–12:15 domenica	Chiuso",,,,,,Meano,,30,38121,Via delle Sugarine,,,,,,,,,,,,,,,,,,,,,,,
46.0663058,11.1541385,,Point,node/288917447,pharmacy,Farmacia Comunale N.6,,,,,yes,,Povo,IT,5,38123,Piazza Giannantonio Manci,,farm06@farcomtrento.it,http://www.farcomtrento.it/,yes,,,,,,,,,,,,,,,,,,,
46.0767326,11.1419881,,Point,node/292015868,pharmacy,"Farmacia ""Comunale Cognola""",,,,,,,Cognola di Trento,,10,38121,Piazza dell'Argentario,,,,,,,,,,,,,,,,,,,,,,,
46.0623036,11.2429905,,Point,node/293870952,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8883664,11.0444617,,Point,node/296362493,pharmacy,Soave,,,,,yes,,Rovereto,IT,17,38068,Piazza delle Erbe,,,http://www.farmaciasoave.com/,,,,,,,,,,,,,,,,,,,,
45.8858453,11.0279101,,Point,node/298372268,pharmacy,Pavani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8997823,10.8441919,,Point,node/299127646,pharmacy,Madonna Delle Grazie,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.918749,10.8667757,,Point,node/299651022,pharmacy,Farmacia dott.ssa Venezian,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.4205104,11.6732782,,Point,node/305506957,pharmacy,,,,,,yes,,,,4,,Strada de Soraporta,,,,,,,,,,,,,,,,,,,,,,,
46.067039,11.2373933,,Point,node/317916345,pharmacy,Pizzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.4008757,10.8464094,,Point,node/333696242,pharmacy,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.3021572,10.8105073,,Point,node/334743923,pharmacy,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.4767228,11.7420375,,Point,node/335694859,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1756298,11.829935,,Point,node/338894275,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0121165,11.299756,,Point,node/354932919,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0114325,11.302148,,Point,node/354933149,pharmacy,Farmacia Romanese,"Mo-Sa 08:30-12:30,15:00-19:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.142562,10.9662347,,Point,node/427547580,pharmacy,Farmacia Margonari Ada,"08:30-12:30,15:30-19:30",,,,yes,,Molveno,IT,24b,38018,Piazza Guglielmo Marconi,,,,,"+39 0461 586972, +39 334 8257059",survey,,,,,,,,,,,,,,,,,
46.0401732,11.1333734,,Point,node/427967401,pharmacy,Farmacia Madonna Bianca,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0536916,11.1296507,,Point,node/429202410,pharmacy,"Farmacia ""San Bartolameo""",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.076997,11.119107,,Point,node/431618064,pharmacy,Farmacia San Lorenzo,,,IT01709540221,+39 0461 823529,yes,,Trento,IT,1,38121,Piazza General Antonio Cantore,,,,,,,,,,,,,,,,,,,,,,,
46.0583792,11.1215688,,Point,node/432480282,pharmacy,Farmacia Comunale,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0655277,11.1320121,,Point,node/437296845,pharmacy,"Farmacia Comunale ""San Camillo""",,,,,yes,,,IT,5,,Via Benedetto Giovanelli,,,,,,,,,,,,,,,,,,,,,,,
45.9172503,10.8805017,,Point,node/447342714,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0738199,11.1251916,,Point,node/468152872,pharmacy,"Farmacia ""Grandi""",,dott. Mauro Lepore,IT00639430222,+39 0461 239805,yes,,Trento,IT,7/A,38122,Via Alessandro Manzoni,,,,,,,,,,,,,,,,,,,,,,,
46.0598823,11.2383047,,Point,node/482721037,pharmacy,Farmacia Crescini,"Mo-Sa 08:30-12:00, Mo-Sa 15:00-19:00",,,,,,Pergine Valsugana,,8,38057,Piazza Giovanni Serra,,,,,,,no,,,,,,,,,,,,,,,,
46.1747289,11.2209553,,Point,node/520619249,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1413451,11.1071424,,Point,node/546523207,pharmacy,Farmacia Romani,,,IT02046850224,+39 0461 246349,,,Lavis,IT,1,38015,Via Giuseppe Segantini,,,,,,,,,,,,,,,,,,,,,,,
45.894778,10.8498354,,Point,node/546894657,pharmacy,Farmacia Comunale,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0698069,11.1230745,,Point,node/560073333,pharmacy,Farmacia Alla Madonna,"Mo-Sa 08:30-12:30,15:00-19:00",,,+39 0461 982584,,,Trento,IT,42,38122,Via Giannantonio Manci,,,,,,,,,,,,,,,,,,,,,,,
46.3311395,10.8781988,,Point,node/613869965,pharmacy,Farmacia,,Tomasi Dott.ssa Monica,,,yes,,,,82,38020,Via Brescia,,,,,,,,,,,,,,,,,,,,,,,
46.3520987,10.9121689,,Point,node/614841287,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.9264458,11.0425935,,Point,node/622583107,pharmacy,Farmacia comunale,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.089857,11.1820539,,Point,node/663185034,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0529786,11.4104062,,Point,node/666810145,pharmacy,Farmacia Kamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.817258,10.9565781,,Point,node/690739201,pharmacy,Farmacia Ottaviani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.9354307,11.0940359,,Point,node/729605636,pharmacy,Farmacia Calliano,,,IT02167060223,+39 0464 834118,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,
45.8902428,10.6008618,,Point,node/737219864,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.848452,10.5779212,,Point,node/753346159,pharmacy,Farmacia Fusi,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
45.8083537,10.5404483,,Point,node/753358183,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.9013786,11.0419026,,Point,node/761569391,pharmacy,Farmacia Comunale,,,,,yes,,Rovereto,,33/2,38068,Viale Trento,,,,,+39 0464 412812,,,,,,,,,,,,,,,,,,
45.8894599,11.0422041,,Point,node/791724455,pharmacy,,,,,,,,Rovereto,IT,32,38068,Via delle Scuole,,,,,,,,TN,,,,,,,,,,,,,,,
45.870688,10.8765174,,Point,node/821706072,pharmacy,Chinaglia,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
45.9151533,11.032628,,Point,node/836513130,pharmacy,,,,,,no,,Villa Lagarina,IT,46,,25 Aprile,,,,,,,,,,,,,,,,,,,,,,,
46.0669754,11.1284969,,Point,node/853801303,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0459201,10.9532043,,Point,node/877075857,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2129567,11.0913849,,Point,node/885639404,pharmacy,Campagnola,,Dott. G. Campagnola & C. SNC,IT01813570221,+39 0461 601032,yes,,Mezzolombardo,IT,19,38017,Via Alcide De Gasperi,,info@farmaciacampagnola.it,http://farmaciacampagnola.it/,,,,,,+39 0461 607879,+39 339 4604160,,,,,,,,,,,,,
46.0923859,11.117635,,Point,node/901169359,pharmacy,Farmacia ai Solteri,,Dottor Gadotti & C. SNC,IT01551840224,+39 0461 827944,,,Trento,IT,40,38121,Via Renato Lunelli,,,,,,,,,,,Palazzo Onda,,,,,,,,,,,,
45.9111219,10.900851,,Point,node/902473412,pharmacy,Farmacia Comunale,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.9164495,10.8856849,,Point,node/902524361,pharmacy,Farmacia Bettinazzi - R. & T. Pharma Snc,,,,,no,,,,,38062,,,,,,,,,,,,,,,,,,,,,,,,
46.1081304,11.1118683,,Point,node/905122124,pharmacy,Farmacia Fontana,"Mo-Sa 8:00-12:30,15:00-19:30",Dott.ssa Fontana,,,no,,,,2,38121,Via Marco Pola,,,,,+39 0461 990320,,,,,,,pharmacy,,,,,,,,,,,
46.1672565,11.110319,,Point,node/918934812,pharmacy,Farmacia Nave San Rocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0333617,10.7244513,,Point,node/922133564,pharmacy,Farmacia Boni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8901056,11.0432418,,Point,node/940784613,pharmacy,Cobelli,,,,,yes,,Rovereto,IT,8,38068,Via Giuseppe Mazzini,,,,,,,,TN,,,,,,,,,,,,,,,
46.3652923,11.0359976,,Point,node/943285720,pharmacy,Erboristeria Arnica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.3655329,11.0347336,,Point,node/943811128,pharmacy,Sanità,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.3646186,11.0335797,,Point,node/944412600,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8783602,11.0334873,,Point,node/1013604666,pharmacy,Farmacia Comunale Via Benacense,,Farmacia Comunale,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.3113252,10.7572486,,Point,node/1100568047,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.068036,11.223445,,Point,node/1112759391,pharmacy,Darma Il Farmastore,Mo 14:30-20:00; Tu-Su 09:00-20:00,,,,no,,Pergine Valsugana,IT,,38057,Via Tamarisi,,,,yes,,,,,,,Shop Center,,2,,,,,,,,,,
46.0046234,10.8423483,,Point,node/1117559404,pharmacy,Farmacia Gagliardi,,,,,,,,,1,,Via De Gasperi,,,,,,,,,,,,,,,,,,,,,,,
46.0534713,11.1206301,,Point,node/1129326761,pharmacy,Farmacia Comunale,,,,,yes,,,,,,Via San Pio X,,,,,,,no,,,,,pharmacy,,,,,,,,,,,
46.1906731,11.1298443,,Point,node/1137509497,pharmacy,,"Mo-Fr 08:30-12:00,15:00-19:00; Sa 08:30-12:00",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0537033,11.4548787,,Point,node/1172425953,pharmacy,Farmacia Bailo,"Mo-Sa 08:30-12:15,15:30-19:00; PH closed",Bailo Dr. Luigino,,,no,,Borgo Valsugana,IT,3a,38051,Piazzale Dante Alighieri,,,,yes,,,,TN,,,,,,IT,0,,,,,,,,
46.2620746,11.8018422,,Point,node/1201851079,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0662491,11.1228747,,Point,node/1220020564,pharmacy,Parafarmacia,,,,,,,Trento,IT,6,38122,Via Santissima Trinitá,,,,,,,,,,,,,,,,notazione,,,,,,,
46.084496,11.2177362,,Point,node/1241248622,pharmacy,Farmacia comunale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.9291659,11.0700857,,Point,node/1293797370,pharmacy,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1522371,11.0974831,,Point,node/1308870029,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.073149,11.0585528,,Point,node/1346805866,pharmacy,Farmacia De Gerloni,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1542755,11.8062406,,Point,node/1358269031,pharmacy,Farmacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0984636,11.1020825,,Point,node/1359825886,pharmacy,La farmacia di Roncafort,,,,,,,,,31,,Via Luigi Caneppele,,,,,,,,,,,,,,,,,,,,,,,
45.916653,11.0633565,,Point,node/1374736035,pharmacy,Farmacia Comunale San Rocco,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1874748,11.2584887,,Point,node/1400293658,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0539272,11.4577617,,Point,node/1532671600,pharmacy,Farmacia Centrale,,Farmacia Centrale Di Ballista Paolo E Stefano S.N.C.,,,,,Borgo Valsugana,IT,40,38051,Corso Ausugum,,,,no,+39 0461 753065,,,TN,,,,,,IT,,,,,,,,,
45.8694388,11.0733573,,Point,node/1535886317,pharmacy,Dispensario farmaceutico,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.3766041,11.6595457,,Point,node/1538128723,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2484813,11.1716149,,Point,node/1669381238,pharmacy,,Mo-Fr 09:00-12:00,,,,,,Roverè della Luna,IT,12,38030,Via Rauti,,,,,+39 0461 659101,,,,,,,,,,,,https://www.farmaciazanini.it/,,,,,,
45.840892,11.0084513,,Point,node/1695145678,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2146886,11.118874,,Point,node/1754018682,pharmacy,Zanini,"Mo-Fr 08:30-12:15,15:30-19:15;Sa 08:30-12:15",Zanini Paolo,IT01422590222,+39 0461 605161,,,Mezzocorona,IT,13,38016,Piazza San Gottardo,,info@farmaciazanini.it,http://www.farmaciazanini.it/,,,,,,+39 0461 605161,,,,,,,,,Alla Madonna,,,,,
46.0522737,11.4926158,,Point,node/1764382893,pharmacy,Farmacia Comunale Castelnuovo,,Farmacia Comunale Castelnuovo TN,IT02116430220,+39 0461 751300,no,,Castelnuovo,IT,15a,38050,Viale Venezia,,,,,,,,TN,,,,,,IT,,,http://farmaciacomunalecastelnuovo.it/,,comunalecastelnuovo@gmail.com,,,,
46.2988561,10.6927744,,Point,node/1840041805,pharmacy,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8865017,10.8426658,,Point,node/1889573420,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8852245,10.8409706,,Point,node/1904668697,pharmacy,Accorsi,,,,,,,,,,38066,,,,,,,,,,,,,,,,,,,,,,,,
45.9950813,11.2603123,,Point,node/1984744605,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2744403,11.0479742,,Point,node/1987626808,pharmacy,Farmacia all'Angelo,,,,,,,Denno,IT,10,38010,Via Guglielmo Marconi,,,,yes,,,,,,,,,,,,,,,,,,,
46.070551,11.1123177,,Point,node/1998966129,pharmacy,Farmacia Comunale,,,,,,,Trento,IT,19/A,38122,Via Brescia,,,,,,,,,,,,,,,,,,,,,,,
45.8847764,11.0082956,,Point,node/2103936507,pharmacy,farmacia comunale,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
46.1064,11.10862,,Point,node/2180096986,pharmacy,Farmacia di Gardolo,"Mo 15:00-19:00; Tu-Sa 09:00-12:00,15:00-19:00",Dott. Brandolani Renato,IT02128090228,+39 0461 993511,yes,,Gardolo,IT,32/4,38121,Via Soprasasso,,,,,,,,,,,Residence Capitol,,,,,,,,,,,,
46.1395384,11.1119943,,Point,node/2304073385,pharmacy,Farmacia Comunale,,,,,,,Lavis,IT,66,38015,Via Giacomo Matteotti,,,,,,,,,,,,,,,,,,,,,,,
46.0167581,11.1055828,,Point,node/2316463120,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0637581,11.5239854,,Point,node/2338570939,pharmacy,Farmacia Borsato,,,,,no,,Castel Ivano,IT,29,38059,Via Roma,,,,,+39 0461 762101,,,TN,,,,,,IT,,,,,,Strigno,,,
46.330561,11.0261432,,Point,node/2503069997,pharmacy,Farmacia Baldrachi,,,,,,,Tuenno,IT,29,,Via Enrico Leonardi,,,,,,,,,,,,,,,,,,,,,,,
45.7591484,11.0034033,,Point,node/2517370192,pharmacy,Farmacia Ravagni,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
45.7575766,11.0021142,,Point,node/2518516216,pharmacy,Farmacia Franzellin,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
45.9933445,10.9717397,,Point,node/2524024263,pharmacy,Folgaresi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.9395171,10.6391288,,Point,node/2525035025,pharmacy,Farmacia Pieve di Dino Ceschinelli,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0487161,11.1256929,,Point,node/2603444254,pharmacy,Farmacia Clarina,,,,,,,Trento,,112,38123,Via Alcide Degasperi,,,,,,,,,,,,,,,,,,,,,,,
46.0703675,11.4808667,,Point,node/2628566892,pharmacy,Farmacia Teseo Francesco,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8915027,10.9521966,,Point,node/2868373144,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8519644,10.9790058,,Point,node/2875736483,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.7827256,11.1181305,,Point,node/2888545662,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2907521,11.4620734,,Point,node/2967727727,pharmacy,,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,
46.0519685,10.8545176,,Point,node/3028910043,pharmacy,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.9118599,11.0252009,,Point,node/3239277010,pharmacy,Farmacie Comunali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.3510072,10.6935363,,Point,node/3265198856,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.734889,10.9395448,,Point,node/3326962822,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0414192,11.2350016,,Point,node/3424970462,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.3485815,11.0889288,,Point,node/3434314800,pharmacy,,,,,,,,Coredo,,,38012,,,,,,,,,,,,,,,,,,,,,,,,
45.8898791,11.0403937,,Point,node/3540776707,pharmacy,Thaler,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1091824,11.3021324,,Point,node/3612862992,pharmacy,Farmacia Valle dei Mocheni,"Mo-Fr 08:30-12:00,15:00-19:00; Sa 08:30-12:00; Su off",,,,,,Sant'Orsola Terme,,75,38050,Località Pintarei,,,,,+39 0461 550007,,no,,,,,,,,,,,,,,,,
46.1010416,10.7362286,,Point,node/3715080105,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.9186901,10.8653341,,Point,node/3755058550,pharmacy,Farmacia dott.ssa Venezian,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.3770566,11.6594938,,Point,node/3786688689,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.376141,11.6609796,,Point,node/3787675288,pharmacy,Festa Parafarmacia Profumeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8917455,11.0401438,,Point,node/3860156898,pharmacy,Farmacia Comunale n°1,,Farmacia Comunale,,,yes,,Rovereto,IT,,38068,,,,,yes,,,,,,,,,,,,,,,,,,,
46.0605568,11.2413667,,Point,node/3951262706,pharmacy,,,,,,no,,Pergine Valsugana,IT,1,38057,Piazza Mario Garbari,,,,,,,,,,,,,,,,,,,,,,,
46.0438265,11.5525707,,Point,node/4000752464,pharmacy,Dispensario farmaceutico,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8941621,11.0281746,,Point,node/4013472289,pharmacy,Farmacia S. Giorgio,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
45.8828375,10.8543589,,Point,node/4079555689,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.3159016,10.8016006,,Point,node/4123995194,pharmacy,Farmacia Gallina,,,,,,,Mezzana,,48,38020,Via IV Novembre,,,,,,,,,,,,,,,,,,,,,,,
46.0625095,11.6339287,,Point,node/4146886717,pharmacy,Farmacia Comunale,,,,,,,Castello Tesino,,12,38053,Via Dante,,,,yes,,,,,,,,,,,,,,,,,,,
46.0681123,11.6117172,,Point,node/4149795061,pharmacy,Farmacia Pieve Tesino,,,,,,,Pieve Tesino,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.8885959,10.7323059,,Point,node/4456510054,pharmacy,Farmacia Alberto Foletto,,Foletto Alberto & C. S.n.c.,IT01406250223,,yes,,Ledro,,4,38067,Via Nuova,,,,,+39 0464 591038,,,,,,,,,,,,http://www.foletto.net/,,,,Pieve,,
46.2071628,11.1000444,,Point,node/4557760205,pharmacy,Parafarmacia Campagnola,Mo-Su 09:00-19:00,,,+39 0461 600696,,,Mezzolombardo,IT,65/A,38017,Via Trento,,,,yes,,,,,,,Complesso Commerciale Braide,,,,0,,,,,,,,
46.15527,11.7329018,,Point,node/4582777035,pharmacy,Farmacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2910265,11.4602172,,Point,node/4585088773,pharmacy,Parafarmacia,,,,,yes,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,
45.8868604,10.8451646,,Point,node/4643920791,pharmacy,Mutalipassi,,,,,,,Riva del Garda,,12,38066,Via Lutti,,,,,,,,,,,,,,,,,,,,,,,
46.0708418,11.1234078,,Point,node/4644165788,pharmacy,Farmacia Veterinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.1601535,10.7654611,,Point,node/4654517956,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0445596,11.1286721,,Point,node/4762621253,pharmacy,Tecnisan articoli sanitari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tecnisan articoli sanitari,
46.0353784,10.8724215,,Point,node/5400760154,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,
45.9606101,10.914025,,Point,node/5401214894,pharmacy,Farmacia Nardelli Gabriele,"Mo-Fr 08:30-12:00, Mo-Sa 15:00-19:00, Sa 09:00-12:00",,,,,,DRO,,14,38074,Via Giuseppe Mazzini,,,,,,,,,,,,pharmacy,,,,,,,,,,,
46.0608378,11.1280488,,Point,node/5669932017,pharmacy,Igea,"Mo-Fr 08:30-12:30,15:00-19:00, Sa 08:30-12:30",,,,no,,Trento,,68,,Via Milano,,,,,+39 0461 910761,,,,,,,pharmacy,,,,,,,,,,,
46.4375538,11.1366928,,Point,node/5779215184,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
46.2592562,10.5851467,,Point,node/5840514317,pharmacy,,,,,,yes,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,
45.8843881,11.018394,,Point,node/5859452716,pharmacy,Farmacia Santoni,,,,,yes,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
46.4052386,11.0170999,,Point,node/6125013169,pharmacy,,,,,,yes,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,
46.3260432,10.8740406,,Point,node/6135283574,pharmacy,,,,,,yes,,Dimaro,,,38025,,,,,,,,,,,,,pharmacy,,,,,,,,,,,
45.9415,11.1100893,,Point,node/6169477931,pharmacy,Comunale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2646016,11.0867259,,Point,node/6181555281,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0069356,11.1278389,,Point,node/6239519785,pharmacy,Farmacia Giupponi,,,,,yes,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,
46.477323,11.7702598,,Point,node/6256572711,pharmacy,Parafarmacia,,,,,yes,,,,,,,,,,,,,,,,,,pharmacy,,,,,,,,,,,
46.4200601,11.6754117,,Point,node/6589342086,pharmacy,Farmacia San Giovanni,"Mo-Sa 08:30-12:30, 15:30-19:30; Su 09:00-12:00, 16:00-19:00",,,,,,,,24,38036,Strada Neva,,,,,0462764145,,,,,,,,,,,,,,,,,,
46.0163984,11.6339731,,Point,node/6609204555,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
